168,504.8
26,78.8
68,204.8
35,105.8
85,255.8
178,534.8
89,267.8
89,267.8
94,282.8
74,222.8
17,51.8
83,249.8
6,18.8
127,381.8
191,573.8
165,495.8
6,18.8
187,561.8
168,504.8
63,189.8
10,30.8
81,243.8
171,513.8
37,111.8
135,405.8
172,516.8
187,561.8
196,588.8
162,486.8
76,228.8
156,468.8
53,159.8
83,249.8
88,264.8
100,300.8
114,342.8
83,249.8
30,90.8
31,93.8
75,225.8
67,201.8
187,561.8
3,9.8
113,339.8
106,318.8
137,411.8
179,537.8
14,42.8
20,60.8
80,240.8
